timestamp,source,source_port,destination,destination_port,protocol
1599665118.795461,192.0.0.2,22,192.0.0.3,45040,TCP
1599665118.795735,192.0.0.3,45040,192.0.0.2,22,TCP
1599665127.154249,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.155671,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.155749,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.155887,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.155955,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.15812,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.163749,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.16382,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.16384,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.163863,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.164485,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.164538,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.164555,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.164699,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.164724,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.164807,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665127.167322,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.202579,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665127.202665,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665136.344191,192.0.0.3,36580,192.0.0.2,22,TCP
1599665136.344258,192.0.0.2,22,192.0.0.3,36580,TCP
1599665136.3443,192.0.0.3,36580,192.0.0.2,3389,TCP
1599665136.34433,192.0.0.2,3389,192.0.0.3,36580,TCP
1599665136.344349,192.0.0.3,36580,192.0.0.2,554,TCP
1599665136.344384,192.0.0.2,554,192.0.0.3,36580,TCP
1599665136.344711,192.0.0.3,36580,192.0.0.2,21,TCP
1599665136.344751,192.0.0.2,21,192.0.0.3,36580,TCP
1599665136.345799,192.0.0.3,36580,192.0.0.2,995,TCP
1599665136.346455,192.0.0.3,36580,192.0.0.2,22,TCP
1599665136.350405,192.0.0.2,995,192.0.0.3,36580,TCP
1599665137.155117,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.155512,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.155839,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.159103,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.167754,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.168093,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.168185,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.16827,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.168285,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.171197,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.179079,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.179214,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.179301,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.19187,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.191917,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.192085,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.213994,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.214025,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.222491,192.0.0.3,8086,192.0.0.2,48122,TCP
1599665137.222526,192.0.0.2,48122,192.0.0.3,8086,TCP
1599665137.448518,192.0.0.3,36580,192.0.0.2,23,TCP
1599665137.448557,192.0.0.2,23,192.0.0.3,36580,TCP
1599665137.448567,192.0.0.3,36580,192.0.0.2,1218,TCP
1599665137.448589,192.0.0.2,1218,192.0.0.3,36580,TCP
1599665137.448598,192.0.0.3,36580,192.0.0.2,2046,TCP
1599665137.448618,192.0.0.2,2046,192.0.0.3,36580,TCP
1599665137.448627,192.0.0.3,36580,192.0.0.2,544,TCP
1599665137.448648,192.0.0.2,544,192.0.0.3,36580,TCP
1599665137.448651,192.0.0.3,36580,192.0.0.2,1328,TCP
1599665137.448671,192.0.0.2,1328,192.0.0.3,36580,TCP
1599665137.44868,192.0.0.3,36580,192.0.0.2,25735,TCP
1599665137.448685,192.0.0.3,36580,192.0.0.2,1025,TCP
1599665137.448699,192.0.0.2,25735,192.0.0.3,36580,TCP
1599665137.448707,192.0.0.3,36580,192.0.0.2,55600,TCP
1599665137.448709,192.0.0.2,1025,192.0.0.3,36580,TCP
1599665137.448712,192.0.0.3,36580,192.0.0.2,25,TCP
1599665137.448728,192.0.0.2,55600,192.0.0.3,36580,TCP
1599665137.4488,192.0.0.2,25,192.0.0.3,36580,TCP
1599665137.448827,192.0.0.3,36580,192.0.0.2,1720,TCP
1599665137.448863,192.0.0.3,36580,192.0.0.2,10012,TCP
1599665137.448893,192.0.0.2,10012,192.0.0.3,36580,TCP
1599665137.448905,192.0.0.3,36580,192.0.0.2,5950,TCP
1599665137.448925,192.0.0.2,5950,192.0.0.3,36580,TCP
1599665137.448952,192.0.0.2,1720,192.0.0.3,36580,TCP
1599665137.449131,192.0.0.3,36580,192.0.0.2,445,TCP
1599665137.449164,192.0.0.2,445,192.0.0.3,36580,TCP
1599665137.449177,192.0.0.3,36580,192.0.0.2,3306,TCP
1599665137.449211,192.0.0.2,3306,192.0.0.3,36580,TCP
1599665137.449218,192.0.0.3,36580,192.0.0.2,2196,TCP
1599665137.449266,192.0.0.2,2196,192.0.0.3,36580,TCP
1599665137.449283,192.0.0.3,36580,192.0.0.2,5033,TCP
1599665137.449314,192.0.0.3,36580,192.0.0.2,1755,TCP
1599665137.449319,192.0.0.2,5033,192.0.0.3,36580,TCP
1599665137.449337,192.0.0.3,36580,192.0.0.2,1533,TCP
1599665137.449351,192.0.0.2,1755,192.0.0.3,36580,TCP
1599665137.449365,192.0.0.3,36580,192.0.0.2,2800,TCP
1599665137.449372,192.0.0.2,1533,192.0.0.3,36580,TCP
1599665137.44951,192.0.0.2,2800,192.0.0.3,36580,TCP
1599665137.449523,192.0.0.3,36580,192.0.0.2,256,TCP
1599665137.449525,192.0.0.3,36580,192.0.0.2,7200,TCP
1599665137.449563,192.0.0.2,7200,192.0.0.3,36580,TCP
1599665137.449577,192.0.0.3,36580,192.0.0.2,8031,TCP
1599665137.449614,192.0.0.3,36580,192.0.0.2,264,TCP
1599665137.449615,192.0.0.2,8031,192.0.0.3,36580,TCP
1599665137.449633,192.0.0.3,36580,192.0.0.2,1234,TCP
1599665137.449654,192.0.0.2,264,192.0.0.3,36580,TCP
1599665137.449667,192.0.0.2,1234,192.0.0.3,36580,TCP
1599665137.44967,192.0.0.3,36580,192.0.0.2,1094,TCP
1599665137.44968,192.0.0.3,36580,192.0.0.2,4001,TCP
1599665137.449704,192.0.0.2,1094,192.0.0.3,36580,TCP
1599665137.449717,192.0.0.2,4001,192.0.0.3,36580,TCP
1599665137.449718,192.0.0.3,36580,192.0.0.2,1998,TCP
1599665137.449722,192.0.0.3,36580,192.0.0.2,1805,TCP
1599665137.449747,192.0.0.2,1998,192.0.0.3,36580,TCP
1599665137.449762,192.0.0.3,36580,192.0.0.2,5030,TCP
1599665137.449763,192.0.0.2,1805,192.0.0.3,36580,TCP
1599665137.449776,192.0.0.2,256,192.0.0.3,36580,TCP
